state,year,quarter,genericind,drugtype,imprx,adjmedamt,unadjmedamt,percap_rx,percap_adjmedamt,percap_unadjmedamt,futurerevision
AZ,2018,all,all,all,105304,14227157.81936163,20623876.98,86.06425948573654,11627.76155046404,16855.75761612691,no
AZ,2018,all,all,bup,81241,10849233.82223,14359605.08,66.39772947732966,8867.006712924789,11736.00981651049,no
AZ,2018,all,all,naloxone,11762,743410.726631632,1419983.16,9.613004444952075,607.5846471293087,1160.542801295451,no
AZ,2018,all,all,naltrexone,12301,2634513.2705,4844288.74,10.05352556345481,2153.170190409941,3959.204998320973,no
AZ,2019,,,,,,,,,,yes
CA,2010,all,all,all,9859,747482.4944,2587936.61,2.104566358253805,159.5624821075037,552.4378057307433,no
CA,2010,all,all,bup,7972,530141.5766999999,2353891.07,1.701755046962099,113.167474128659,502.4769202673754,no
CA,2010,all,all,naloxone,496,4373.378100000001,4921.55,.105879390779378,.9335697759594228,1.050586120343241,no
CA,2010,all,all,naltrexone,1391,212967.5396,229123.99,.2969319205123281,45.46143820288519,48.91029934302478,no
CA,2011,all,all,all,12058,1425024.143097292,3498385.5,2.471108746614214,292.0376201811366,716.9423625873562,no
CA,2011,all,all,bup,9951,1182801.796197292,3242994.739999999,2.039310261864161,242.3977329651793,664.6038038843827,no
CA,2011,all,all,naloxone,476,4017.216699999999,5025.22,.0975491593455271,.823269142844144,1.029844509509096,no
CA,2011,all,all,naltrexone,1631,238205.1302,250365.54,.3342493254045267,48.8166180731131,51.30871419346417,no
CA,2012,all,all,all,13228,1705668.688431755,4310420.16,2.578364253205583,332.4641044802304,840.1748757817275,no
CA,2012,all,all,bup,11265,1497892.096731754,4082613.09,2.195741859114068,291.9648803577498,795.7713676236158,no
CA,2012,all,all,naloxone,428,4032.2338,5539.160000000001,.0834245464448132,.7859515792627239,1.07967736141414,no
CA,2012,all,all,naltrexone,1535,203744.3579,222267.91,.2991978476467017,39.71327254321776,43.32383079669759,no
CA,2013,all,all,all,14134,3132888.793220513,4948389.66,2.432553395398956,539.1905526642067,851.6500685715358,no
CA,2013,all,all,bup,11947,2888465.042380513,4619167.23,2.056156460650299,497.1236342389916,794.9887455251231,no
CA,2013,all,all,naloxone,609,9362.210349999999,14442.24,.1048128638600513,1.611297338002812,2.485603505671899,no
CA,2013,all,all,naltrexone,1578,235061.54049,314780.1899999999,.2715840708886057,40.45562108721231,54.17571954074066,no
CA,2014,all,all,all,34185,8854305.593828,10559010.3,4.099658703562835,1061.858446445577,1266.296284259314,no
CA,2014,all,all,bup,27360,8014588.189827999,9509882.109999999,3.281166070776047,961.1547821529989,1140.478893143718,no
CA,2014,all,all,naloxone,1385,45546.6037,54804.88,.1660970397669893,5.462206531415307,6.572511431613772,no
CA,2014,all,all,naltrexone,5440,794170.8003,994323.3100000001,.6523955930197989,95.24145776116301,119.2448796839815,no
CA,2015,all,all,all,69563,16349926.199165,20204782.62,7.708326661604094,1811.747222464282,2238.906668223927,no
CA,2015,all,all,bup,55897,14577915.549215,17545697.12,6.193987254771703,1615.389432580925,1944.251468546873,no
CA,2015,all,all,naloxone,2737,94839.32655,122197.68,.3032889621323175,10.50921480404729,13.540813862688,no
CA,2015,all,all,naltrexone,10929,1677171.3234,2536887.82,1.211050444700073,185.84857507931,281.1143858143652,no
CA,2016,all,all,all,109516,21395904.01225568,29474465.32,11.83442694838069,2312.066392377417,3185.045168487893,no
CA,2016,all,all,bup,90034,19405613.15855,25872654.76,9.729179260295366,2096.993236727008,2795.829310035921,no
CA,2016,all,all,naloxone,4081,159536.413405682,362043.02,.4409976293540817,17.2396912785,39.12279185106404,no
CA,2016,all,all,naltrexone,15401,1830754.4403,3239767.54,1.664250058731245,197.8334643719085,350.0930666009078,no
CA,2017,all,all,all,150741,30616483.34544163,40305779.17,16.13105339874032,3276.322485103341,4313.190678508869,no
CA,2017,all,all,bup,121409,26713109.416123,32692596.63,12.99218568330888,2858.615734523938,3498.490934662818,no
CA,2017,all,all,naloxone,6032,348329.2314186328,593030.98,.6454946836043387,37.27530952001208,63.46126405879824,no
CA,2017,all,all,naltrexone,23300,3555044.6979,7020151.560000001,2.493373031827104,380.4314410593903,751.2384797872522,no
CA,2018,all,all,all,210602,43568319.18516684,58047599.5,22.8887601604589,4735.115565966154,6308.760519111282,no
CA,2018,all,all,bup,162167,34955899.48997501,42733690.73999999,17.62472136513964,3799.095923206548,4644.406027098904,no
CA,2018,all,all,naloxone,14334,960797.231541832,1718279.21,1.557855519605787,104.4218829621461,186.7469479225876,no
CA,2018,all,all,naltrexone,34101,7651622.463649999,13595629.55,3.706183275713474,831.5977597974592,1477.607544089789,no
CA,2019,,,,,,,,,,yes
CO,2010,all,all,all,2387,208626.5211,716396.6699999999,6.541164187468615,571.7052066927045,1963.162229503884,no
CO,2010,all,all,bup,1790,126883.5726,584845.6799999999,4.905188058470389,347.7026732589835,1602.669299208936,no
CO,2010,all,all,naloxone,7,62.33530000000001,77.38000000000001,.0191822996699959,.1708192006598711,.2120466212091837,no
CO,2010,all,all,naltrexone,590,81680.61320000001,131473.61,1.616793829328229,223.8317142330609,360.2808836737393,no
CO,2011,all,all,all,3745,432346.3409133295,1125470.61,8.927314348884867,1030.625285159796,2682.891836021683,no
CO,2011,all,all,bup,3008,365593.3030813294,1010278.26,7.170457025753186,871.4996903749443,2408.296824262867,no
CO,2011,all,all,naloxone,5,39.7351,47.04,.0119189777688717,.0947203547087784,.1121337428495445,no
CO,2011,all,all,naltrexone,732,66713.302732,115145.31,1.74493834536281,159.0308744301425,274.4828780159669,no
CO,2012,all,all,all,5452,636499.8225121064,1675410.18,12.27583879574292,1433.15649572223,3772.38908408412,no
CO,2012,all,all,bup,4589,595668.0359621064,1597663.41,10.33268969803086,1341.218779392445,3597.332808330323,no
CO,2012,all,all,naloxone,6,89.0544,108.56,.0135097272146841,.2005167752112267,.2444359977376836,no
CO,2012,all,all,naltrexone,857,40742.73215,77638.20999999999,1.929639370497373,91.73719955457304,174.8118397560594,no
CO,2013,all,all,all,8233,1518383.040205534,2532486.57,18.7087579634683,3450.389990895238,5754.849785480872,no
CO,2013,all,all,bup,6951,1391927.849155535,2265829.25,15.79552734168203,3163.031851386118,5148.894816567096,no
CO,2013,all,all,naloxone,37,259.20055,686.8299999999999,.0840791989127083,.5890101243711724,1.560759897005822,no
CO,2013,all,all,naltrexone,1245,126195.9905,265970.49,2.829151422873561,286.7691293847498,604.3942090167698,no
CO,2014,all,all,all,16380,3557391.35063,4621593.510000001,26.30614031768318,5713.140173051605,7422.239765894625,no
CO,2014,all,all,bup,13621,3249967.1059,4163678.01,21.87520984537012,5219.419457610507,6686.831377821238,no
CO,2014,all,all,naloxone,119,1528.97605,2190.9,.1911129852139377,2.455522497782477,3.518566716850554,no
CO,2014,all,all,naltrexone,2640,305895.26868,455724.6,4.239817487099121,491.2651929433136,731.8898213565348,no
CO,2015,all,all,all,18667,5800654.22144,8402280.68,25.20325031739074,7831.753380167223,11344.33938045835,no
CO,2015,all,all,bup,13454,4856468.9626,6294884.89,18.16491829271843,6556.961639419656,8499.03892440299,no
CO,2015,all,all,naloxone,272,31773.11194999999,63246.06999999999,.3672408038961954,42.89846755441842,85.39168231645237,no
CO,2015,all,all,naltrexone,4941,912412.14689,2044149.72,6.671091220776109,1231.893273193151,2759.908773738907,no
CO,2016,all,all,all,40604,7738910.889490418,13850418.46,51.23634545131769,9765.380547505058,17477.21467988049,no
CO,2016,all,all,bup,30213,5538518.5448,7913904.6,38.12441397696438,6988.805276571327,9986.197171568616,no
CO,2016,all,all,naloxone,469,12248.57138041824,120572.76,.5918098221029454,15.45591652379648,152.1452956205994,no
CO,2016,all,all,naltrexone,9922,2188143.77331,5815941.1,12.52012165225037,2761.119354409933,7338.872212691276,no
CO,2017,all,all,all,47943,8975081.372126123,12455017.8,57.80147944262859,10820.61993256298,15016.13281030126,no
CO,2017,all,all,bup,37272,7720762.903095,9613722.59,44.93621053721404,9308.376994027389,11590.58441593182,no
CO,2017,all,all,naloxone,1211,72242.66250712343,102358.79,1.460016928540626,87.09786145602591,123.406743340161,no
CO,2017,all,all,naltrexone,9460,1182075.806524,2738936.42,11.40525197687392,1425.145077079565,3302.14165102928,no
CO,2018,all,all,all,93695,15984669.4192485,23693063.48,108.0340876112981,18430.96404799328,27319.05113163314,no
CO,2018,all,all,bup,72563,11152757.8871,13889582.43,83.6680452461564,12859.57652684302,16015.24483832613,no
CO,2018,all,all,naloxone,4386,304271.4442485031,524865.4600000001,5.057233665223902,350.837161700827,605.1908969505768,no
CO,2018,all,all,naltrexone,16746,4527640.0879,9278615.59,19.30880869991779,5220.550359449426,10698.61539635644,no
CO,2019,,,,,,,,,,yes
CT,2010,all,all,all,35924,2347137.204799999,8595860.15,75.08566084568952,4905.810826130511,17966.42467152538,no
CT,2010,all,all,bup,32662,1793050.99905,7715339.89,68.26767215627187,3747.701235766981,16126.0270095134,no
CT,2010,all,all,naloxone,128,1941.07605,2249.28,.2675360368624946,4.057092138013325,4.701277007766186,no
CT,2010,all,all,naltrexone,3134,552145.1296999999,878270.9799999999,6.550452652555142,1154.052498225516,1835.696385004213,no
CT,2011,all,all,all,59454,5215825.781498473,13950473.68,112.1085069452629,9835.140459017101,26305.49290954329,no
CT,2011,all,all,bup,55520,4571901.603398473,12757330.27,104.6904212601506,8620.934885081846,24055.66066500668,no
CT,2011,all,all,naloxone,157,1807.97595,2602.36,.2960445990245613,3.409181625247137,4.907099507755143,no
CT,2011,all,all,naltrexone,3777,642116.20215,1190541.05,7.122041086087695,1210.796392310006,2244.925145028854,no
CT,2012,all,all,all,63039,5143150.857730598,16892928.73,112.7744745310847,9200.909522909084,30220.83409979241,no
CT,2012,all,all,bup,58597,4336449.160180598,15557847.31,104.8278983501954,7757.749573599368,27832.42207554212,no
CT,2012,all,all,naloxone,227,3476.07415,4430.5,.4060947305407165,6.218570023276653,7.926003099826627,no
CT,2012,all,all,naltrexone,4215,803225.6233999999,1330650.92,7.540481450348546,1436.94137928644,2380.486021150469,no
CT,2013,all,all,all,71398,10038704.07322081,17932398.74,122.2515374438996,17188.81490931932,30704.82809073151,no
CT,2013,all,all,bup,66249,9165110.916620806,16475429.4,113.4351396974832,15693.00121012859,28210.12597269425,no
CT,2013,all,all,naloxone,299,4728.5888,7786.49,.5119640563562842,8.096546832404327,13.33245152233325,no
CT,2013,all,all,naltrexone,4850,868864.5678000001,1449182.85,8.304433690060129,1487.71715235832,2481.369666514918,no
CT,2014,all,all,all,87188,15469218.45153,20371061.66,142.5345480817361,25289.00836315183,33302.51947118044,no
CT,2014,all,all,bup,80355,14116618.6618,18522655.29,131.3639905848041,23077.7843441972,30280.75309714557,no
CT,2014,all,all,naloxone,440,14786.29793,19609.97,.7193100100468399,24.17257298314515,32.05829026754144,no
CT,2014,all,all,naltrexone,6393,1337813.4918,1828796.4,10.45124748688511,2187.051445971491,2989.708083767329,no
CT,2015,all,all,all,102192,17190537.42782,23345065.22,148.1044149023618,24913.83364259857,33833.44317818985,no
CT,2015,all,all,bup,93041,15653150.45517,20839227.52,134.8420900552944,22685.73557168459,30201.79269284089,no
CT,2015,all,all,naloxone,1112,62299.88765,95486.31,1.61159493278756,90.28973313846609,138.3860191965667,no
CT,2015,all,all,naltrexone,8039,1475087.085,2410351.39,11.65072991427985,2137.808337775515,3493.264466152385,no
CT,2016,all,all,all,120975,17937811.03981208,28749366.89,165.9319915439494,24603.89923351982,39433.26888766586,no
CT,2016,all,all,bup,106684,16138619.23543,23856346.1,146.330139168214,22136.08787356387,32721.89311291365,no
CT,2016,all,all,naloxone,4668,246152.0871820832,1801220.13,6.402732271354871,337.6276590107287,2470.593456333551,no
CT,2016,all,all,naltrexone,9623,1553039.7172,3091800.66,13.19912010438045,2130.183700945219,4240.782318418657,no
CT,2017,all,all,all,151228,24505908.09736475,33503652.87,197.6391267392527,32026.65033139068,43785.75856191881,no
